name,proper_motion,distance,inclination,accretor_type,precession_class,spin_reflection,spin_continuum,spin_qpo
4U1543,187,5.0,10,BH,L,0.98,0.8,0.0
GX339-4,40,10.0,55,BH,L,0.95,0.0,0.27
XTEJ1550,65,4.4,71,BH,?,0.55,0.34,0.34
J1803,33,8.0,78,BH,?,0.991,0.0,0.0
MAXIJJ1820(fast),77,3.0,64,BH,?,0.988,0.14,0.8
MAXIJJ1820(slow),18,3.0,64,BH,?,0.988,0.14,0.8
MAXIJ1348,110,2.2,29,BH,L,0.78,0.41,0.0
GRS1915,24,9.4,65,BH,L,0.98,0.95,0.71
GROJ1655,54,3.2,85,BH,L?,0.98,0.7,0.29
MAXIJ1535,44,3.6,72,BH,?,0.99,0.0,0.0
H1743,20,8.5,75,BH,?,0.98,0.0,0.5
J1848,44,3.4,76,BH?,?,0.97,0.0,0.0
J1752,34,3.5,34,BH,L?,0.92,0.0,0.0
EXO1846,15,4.5,73,BH,?,0.99,0.0,0.0
V404,25,2.4,30,BH,P,0.92,0.0,0.0
X1908,3,8.0,85,BH,?,0.55,0.0,0.0
SS433,8,5.5,80,?,P,0.0,0.0,0.0
Cyg X-3(fast),18,9.3,10,?,L?,0.0,0.0,0.0
Cyg X-3(slow),10,9.3,82,?,P,0.0,0.0,0.0
Cir X-1,16,9.4,86,NS,P,0.0,0.0,0.0
Sco X-1,35,2.8,44,NS,P,0.0,0.0,0.0
Cyg X-2,6,9.0,65,NS,?,0.0,0.0,0.0
